id,sector,category,question_ar,answer_ar
EG-SAL-0011,sales,order_status,الاوردر بتاعي اتأخر اكتر من المعاد بكتير.,ابعتلنا رقم الاوردر وهنرفع وتيرة المتابعة. لو التأخير من جانبنا هنعملك تعويض كوبون 10% على الاوردر الجاي. لو من شركة الشحن بنرفع شكوى ونتابع.
EG-SAL-0012,sales,order_status,استلمت نص الاوردر بس، النص التاني فين؟,ساعات بنقسم الأوردر لو في منتجات بتيجي من مخازن مختلفة. شوف التطبيق لو فيه رقم شحنة تاني. لو لا ابعتلنا رقم الاوردر وهنأكدلك. لو فعلاً ناقص هنعمله اعادة ارسال.
EG-SAL-0013,sales,order_status,الاوردر بيقول تم التسليم وانا ما استلمتش.,ابعتلنا رقم الاوردر فورًا وهنراجع مع شركة الشحن والمندوب. لو فعلاً ما استلمتش هنرفع شكوى ونعمل تحقيق. لو اتحقق إن التسليم غلط هنعملك اعادة ارسال او استرجاع.
EG-SAL-0014,sales,order_status,المندوب ساب الاوردر مع الجار بدون اذني.,ده غلط من المندوب. ابعتلنا رقم الاوردر وصورة من الورقة لو معاك وهنبدأ تحقيق. النظام بيتطلب تسليم شخصي او لشخص مسموح في العنوان. هنعملك اعادة ارسال او استرجاع.
EG-SAL-0015,sales,order_status,الاوردر اتعاد 3 مرات بسبب العنوان.,ابعتلنا عنوان مكتوب بالتفصيل مع علامة مميزة (محل، مسجد، اشارة). لو العنوان صعب بنقترح تلتقطه على الخريطة وتبعتلنا. مرة تالتة بنطبق رسوم شحن 35 جنيه.
EG-SAL-0016,sales,order_status,ممكن اعرف تاريخ الشحن الفعلي؟,ابعتلنا رقم الاوردر وهتأكدلك. التاريخ بيتحدث في التطبيق اول ما الشحنة تتحرك من المخزن. لو لسه ما اتحركتش يبقى في مرحلة التحضير.
EG-SAL-0017,sales,order_status,الاوردر بتاعي وقع في فرع ومحدش بيتصل.,ابعتلنا رقم الاوردر والفرع اللي وقع فيه. هنتصل بفرع الشحن ونرفع وتيرة المتابعة. لو عدى يومين من غير رد نعملك اعادة ارسال من فرع تاني.
EG-SAL-0018,sales,order_status,غيرت رقم تليفوني، اقدر اعدله في الأوردر؟,لو لسه ما اتحولش للشحن تقدر تعدل من التطبيق. لو اتحول نضيف رقمك الجديد في ملاحظات الأوردر ونبعتل شركة الشحن. ابعتلنا الاوردر رقم والرقم الجديد.
EG-SAL-0019,sales,order_status,الاوردر كان متأكد ولقيت الغيه بدون سبب.,ممكن يكون فيه مشكلة في المخزون او الدفع. ابعتلنا رقم الأوردر وهنوضحلك السبب. لو غلط من جانبنا هنعيد تأكيده ونحاول نلحق المعاد.
EG-SAL-0020,sales,order_status,عملت الاوردر من خمس تيام وفيه منتج اتلغي.,ساعات بنلغي منتج لو طلع مش متوفر بعد الأوردر. الفلوس بتترجع على نفس وسيلة الدفع. لو حابب بديل ابعتلنا اسم المنتج وهنرشحلك.
EG-SAL-0021,sales,order_status,عملت اوردر بالاسم وحد تاني استلمه.,ده غلط من شركة الشحن. ابعتلنا رقم الأوردر وهنرفع شكوى. هنبدأ تحقيق ولو تأكد إن التسليم غلط هنعملك اعادة ارسال او استرجاع كامل.
EG-SAL-0022,sales,order_status,الشحنة بقالها اسبوع في مرحلة الشحن.,ابعتلنا رقم الاوردر وهنراجع مع شركة الشحن. لو الشحنة ضاعت هنعملك اعادة ارسال بدون رسوم او استرجاع كامل. بنعتذر عن التأخير.
EG-SAL-0023,sales,order_status,حابة اتأكد إن الأوردر اتعمل صح.,ابعتلنا رقم الأوردر وهنبعتلك كل التفاصيل. شوف برضه في التطبيق خليفة طلباتي هتلاقي المنتجات والكمية والعنوان. لو في غلط نعدله قبل الشحن.
EG-SAL-0024,sales,order_status,الاوردر طلع 3 حاجات وانا طلبت 5.,صور اللي وصل وافتح طلب متابعة. لو فعلاً النقص من جانبنا هنعملك اعادة ارسال للقطعتين الناقصتين خلال 3 ايام او استرجاع قيمتهم على المحفظة.
EG-SAL-0025,sales,order_status,عملت اوردر من 3 اسابيع وما وصلش.,ابعتلنا رقم الأوردر فورًا. لو اتعاد للمخزن هنطمنك بالسبب. لو ضاع في الطريق هنعملك اعادة ارسال او استرجاع. نعتذر بشدة عن التأخير.
EG-SAL-0026,sales,payment_cod,بتقبلوا الدفع عند الاستلام؟,ايوه بنقبل كاش عند الاستلام في القاهرة والجيزة والاسكندرية والمنصورة ومدن تانية. بتكون رسوم خدمة بسيطة 15 جنيه وحد اقصى للطلب 10 الاف جنيه كاش. خارج المدن دي بنطلب دفع مقدم او بطاقة.
EG-SAL-0027,sales,payment_cod,عندي اوردر بـ 12 الف جنيه، اقدر ادفع كاش؟,الحد الاقصى للكاش عند الاستلام 10 الاف جنيه. لو الاوردر اكبر من كده تقدر تدفع مقدم 5 الاف بطاقة والباقي كاش للمندوب، او تدفع كله بطاقة. ده علشان قواعد الامان والتأمين على المندوبين.
EG-SAL-0028,sales,payment_cod,المندوب طلب فلوس زيادة عن اللي في الاوردر، اعمل ايه؟,دي مش حاجة صح خالص. ابعتلنا رقم الاوردر ومبلغ الاوردر الاصلي على الخط ده وهنراجع التسعيرة مع شركة الشحن. مفيش رسوم مخفية ومفيش بقشيش. لو المندوب اصر ما تستلمش وارفع شكوى فورًا.
EG-SAL-0029,sales,payment_cod,الدفع كاش للمندوب يبقى معاه فاتورة؟,طبعًا، المندوب لازم معاه فاتورة الكترونية باسمك ورقمك الضريبي لو مسجل. اطلبها منه قبل ما تدفع. لو رفض ابعتلنا فورًا على الخط في التطبيق وهنتابع الموضوع.
EG-SAL-0030,sales,payment_cod,الفلوس اتحسبت من المحفظة والكاش بردو اتدفع للمندوب.,ده غلط ومفروض يترجع. ابعتلنا صورة من اشعار الدفع من المحفظة وكمان صورة من ايصال المندوب وهنعملك استرجاع للمبلغ الزايد خلال 48 ساعة. متخافش حقك محفوظ.
EG-SAL-0031,sales,payment_cod,المندوب معاه صرف ولا لازم اطلع؟,المندوب معاه صرف يوصل لـ 100 جنيه. لو الفلوس اللي هترجعللك اكبر من كده يفضل تكون معاك الفكة او تدفع بطريقة تانية. ابعتلنا قبل المعاد لو محتاج صرف كبير.
EG-SAL-0032,sales,payment_cod,الدفع كاش في المحافظ بره القاهرة متاح؟,بنقبل كاش في مدن تانية زي طنطا والفيوم واسيوط بس بحد اقصى 5000 جنيه ورسوم خدمة 20 جنيه. في القرى والمناطق النائية بنطلب دفع مقدم بطاقة. شوف التغطية في صفحة الدفع.
EG-SAL-0033,sales,payment_cod,المندوب رفض يستلم فلوس ممزقة.,المندوب ملزم يرفض الفلوس الممزقة او المشكوك فيها لاسباب امنية. حاول تديله فلوس سليمة او تدفع بطاقة. لو مفيش عندك غير الفلوس دي نأجل التوصيل ليوم تاني بدون رسوم.
EG-SAL-0034,sales,payment_cod,الدفع كاش بالدولار ممكن؟,للأسف بنقبل الجنيه المصري بس. لو معاك دولار تقدر تحوله في اي صرافة وندخل الجنيه. السعر في الأوردر بالجنيه ومش بيتغير.
EG-SAL-0035,sales,payment_cod,المندوب طلب اشارة هوية عشان الدفع كاش.,ده اجراء امني عادي لو الاوردر كبير فوق 5000 جنيه. بيطلب صورة بطاقة بس مش بيحتفظ بيها. لو مش حابب توريه البطاقة تقدر تدفع بطاقة وترجع الكاش.
EG-SAL-0036,sales,payment_card,الدفع بالفيزا فيه رسوم؟,مفيش رسوم على الدفع بالفيزا الائتمانية ولا المدى ولا الميزة. السعر اللي بتشوفه هو اللي بيتخصم بالظبط. لو ظهرلك مبلغ اعلى يبقى البنك عمل تحويل عملة وده بنكك يتحكم فيه مش احنا.
EG-SAL-0037,sales,payment_card,الفيزا بتاعتي اترفضت مع إن فيها فلوس كفاية.,ساعات البنك بيرفض لاسباب امنية لو طلبت اوردر كبير او اول مرة تستخدم الفيزا معانا. جرب مرة تانية بعد ربع ساعة او كلم بنكك يفتح الموافقة. لو فضل رفض استخدم محفظة الكترونية او كاش عند الاستلام.
EG-SAL-0038,sales,payment_card,ممكن اقسط قيمة الاوردر على فيزا؟,بنقدم تقسيط على فيزا بنك مصر و بنك القاهرة و CIB على 3 او 6 اشهر بدون فوائد لو الاوردر اكبر من 3 الاف جنيه. اختار تقسيط في صفحة الدفع وهتلاقي البنوك المتاحة. لسه بنضيف بنوك تانية قريب.
EG-SAL-0039,sales,payment_card,الدفع بالماستر كارد شغال ولا لا؟,ايوه شغال 24/7. بتقبل ماستر كارد وفيزا ومدى وميزة ودمجها مع محفظة. لو في مشكلة في المعاملة ابعتلنا اول 6 ارقام واخر 4 ارقام من الفيزا ورقم الاوردر وهنراجع.
EG-SAL-0040,sales,payment_card,اتخصم من الفيزا مرتين لنفس الاوردر.,دي حاجة بتحصل ساعات اذا في مشكلة شبكة. بندقق حساباتنا كل ليلة وعادة المبلغ الزايد بيرجع خلال 3-5 ايام شغل تلقائيًا. لو ما رجعش ابعتلنا رقم الاوردر وكشف حساب البنك وهنراجع يدويًا.
EG-SAL-0041,sales,payment_card,الفيزا اتنصبت بس الأوردر طلع فشل.,في الحالة دي المبلغ يكون معلق على البنك مش محسوب علينا، وبيتحل خلال 48 ساعة لو الأوردر فعلاً فشل. لو عدى 3 ايام وما رجعش ابعتلنا كشف حساب وهنرفع طلب للبنك.
EG-SAL-0042,sales,payment_card,فيزا البنك الأهلي بتشتغل معاكم؟,ايوه يا فندم، فيزا البنك الاهلي شغالة عادي سواء ائتمانية او مدى. لو في مشكلة ابعتلنا رقم البطاقة اول 6 واخر 4 ورقم الاوردر. بنوك مصر والقاهرة و CIB و QNB و البنك العربي الاكتر شغالة.
EG-SAL-0043,sales,payment_card,اتخصم من فيزا بنك مصر بس مفيش اوردر.,ابعتلنا كشف الحساب وفيه رقم العملية وهنطابق. لو فعلاً اتحسب بدون اوردر هنعملك استرجاع خلال 3 ايام. ساعات البنك بيعمل تحفظ 24 ساعة ثم يفكه.
EG-SAL-0044,sales,payment_card,ممكن ادفع بفيزا بنكية عادية مش ائتمانية؟,ايوه، فيزا الخصم المباشر مدى بتشتغل زي الفيزا الائتمانية بالظبط. مفيش فرق في صفحة الدفع. بتقبل مدى وماستر كارد وفيزا.
EG-SAL-0045,sales,payment_card,الفيزا بتاعتي من بنك خارج مصر، بتقبلوا؟,بنقبل فيزا صادرة من بنوك خارج مصر بس بحد اقصى 5000 جنيه. فوق كده البنك المصري ممكن يرفض. كمان التحويل بيكون بالجنيه المصري بالسعر بتاع البنك.
EG-SAL-0046,sales,payment_card,تقسيط على 12 شهر متاح؟,للأسف اقصى مدة تقسيط 6 شهور حاليًا على بنك مصر والقاهرة و CIB. بنشتغل على 12 شهر مع بنوك تانية النصف الثاني من السنة. لو حابب تتابع ابعتلنا ايميلك في النشرة.
EG-SAL-0047,sales,payment_card,الفيزا بتاعت امي، اقدر استخدمها؟,ايوه طالما هي وافقت وموجودة معاك. بس لازم تدخل الاسم زي ما مكتوب على الفيزا والرقم وال CVV. لو البنك طلب OTP يبقى لازم امي تكون معاك في التليفون.
EG-SAL-0048,sales,payment_card,الفيزا بتاعتي اتسرقت ودفعولي اوردر مش انا عملته.,ابعتلنا فورًا رقم الأوردر وهنلغي. كمان كلم بنكك يلغي الفيزا. لو تأكد إن السرقة هي السبب هنعملك استرجاع كامل ونرفع البلاغ للجهات المختصة. حقك محفوظ.
EG-SAL-0049,sales,payment_card,الفيزا بترفض OTP كل شوية.,تأكد إن رقم التليفون اللي مسجل عند البنك هو اللي معاك. لو غيرت التليفون حدثه في البنك الاول. كمان جرب شبكة قوية. لو فضل رفض استخدم طريقة دفع تانية مؤقتًا.
EG-SAL-0050,sales,payment_wallet,تقبلوا فودافون كاش؟,ايوه يا فندم بنقبل فودافون كاش واتصالات كاش و اورنج كاش. بتختار المحفظة في صفحة الدفع وتحول لرقم التاجر اللي هيظهرلك. بعد التحويل ابعتلنا صورة الاشعار علشان نأكد الأوردر.
EG-SAL-0051,sales,payment_wallet,حولت الفلوس على فودافون كاش بس الأوردر لسه معلق.,علشان تأكد الأوردر لازم تبعتلنا اشعار التحويل برقم العملية. من غير الاشعار النظام مش هيأكد الا بعد مراجعة يدوية ودي بتاخد لـ 24 ساعة. ابعتلنا الصورة على الشات وهتتأكد خلال ساعة.
EG-SAL-0052,sales,payment_wallet,المحفظة رجعت الفلوس وقالت إن المستخدم غلط.,ممكن يكون في غلط في رقم التاجر او المبلغ مش مطابق. ابعتلنا صورة من اشعار المحفظة ورقم الأوردر وهنطابق التفاصيل. لو الفلوس رجعتلك فعلاً تقدر تعمل اوردر تاني بعد التأكد.
EG-SAL-0053,sales,payment_wallet,ممكن استخدم محفظة انستاباي؟,للأسف مش متاحة حاليًا كطريقة دفع مباشرة. بس تقدر تحول من محفظتك على فيزا وتدفع بيها عادي. بنشتغل على اضافة انستاباي و فاي في الفترة الجاية.
EG-SAL-0054,sales,payment_wallet,المحفظة قالت لازم ارسل صورة بطاقة.,بعض المحافظ بتطلب تحقق KYC لو اول مرة تستخدمها لمبلغ كبير. كمل التحقق في تطبيق المحفظة الاول وبعدين تقدر تدفع. لو المحفظة بتاعتك شغالة عادي مفيش حاجة.
EG-SAL-0055,sales,payment_wallet,عندي محفظة فودافون كاش بس مش متفعلة للدفع اونلاين.,افتح تطبيق فودافون كاش > خدمات > تفعيل الدفع الالكتروني. هتستلم OTP وتأكد. بعدها تقدر تدفع في اي موقع. لو فيه مشكلة كلم خدمة عملاء فودافون 7000.
EG-SAL-0056,sales,payment_wallet,اتصالات كاش بتقبلوها؟,ايوه بنقبلها. اختار محفظة الكترونية في صفحة الدفع و بعدين اتصالات كاش. هتلاقي رقم التاجر والمبلغ، حول وابعت الاشعار. العملية بتتأكد خلال دقايق.
EG-SAL-0057,sales,payment_wallet,اورنج كاش شغالة معاكم؟,ايوه يا فندم. نفس الخطوات زي باقي المحافظ: اختار المحفظة، حول للمبلغ، ابعت اشعار. لو في مشكلة في الشبكة جرب بعد ربع ساعة.
EG-SAL-0058,sales,delivery_delay,الشحنة بتاعتي متأخرة 4 تيام عن المعاد، في مشكلة؟,متأسفين يا فندم. ابعتلنا رقم الاوردر وهتأكدلك الحالة مع شركة الشحن. لو التأخير من جانبنا هنعملك تعويض كوبون خصم 10% على الأوردر الجاي. لو المنطقة فيها احداث او طقس صعب بيتأخر شوية.
EG-SAL-0059,sales,delivery_delay,انا في اسوان والاوردر متأخر اسبوع.,اسوان بره شبكة التوصيل السريع بتاعتنا، فالتوصيل بيستغرق من 5 لـ 7 ايام. لو عدى 8 ايام ابعتلنا رقم الاوردر وهنراجع مع شركة الشحن الإقليمية. نعتذر عن التأخير ونبعتلك تحديث.
EG-SAL-0060,sales,delivery_delay,المندوب بيقول جاي بس مفيش حد بيرد على المكالمة.,ساعات المندوب بيتصل من رقم ارضي او غير معروف. حاول تفتح خط موبايلك وترد على اي رقم غريب النهارده. لو عدى النهارده ابعتلنا وهنعيد جدولة التوصيل بمعاد يناسبك.
EG-SAL-0061,sales,delivery_delay,الشحنة مبعتتش من يومين مع إن المتوقع كان 48 ساعة.,48 ساعة بتاعة التوصيل تبدأ من بعد خروج الشحنة من المخزن، مش من تاريخ الأوردر. التحضير بياخد يوم. لو عدى 3 ايام من الأوردر وما تحركتش ابعتلنا وهنراجع.
EG-SAL-0062,sales,delivery_delay,ليه التوصيل في رمضان بيبان متأخر؟,في رمضان بيزيد الطلب على التوصيل في القاهرة الكبرى بنسبة 40%، فالمواعيد بتتأخر من يوم ليومين. بنزيد مندوبين بس برضه كمية الطلبات اكبر. نعتذر ونحاول نلحق المعاد.
EG-SAL-0064,sales,delivery_delay,التوصيل في العبور متأخر ليه؟,العبور بتعتبر حي خارج القاهرة الكبرى في شبكة الشحن عندنا، فالتوصيل بياخد 3-5 ايام بدل 2. بنحاول نضيف مندوبين للمنطقة. لو عدى 5 ايام ابعتلنا.
EG-SAL-0065,sales,delivery_delay,الاوردر بيقول تم التسليم وانا ما وصلنيش.,ابعتلنا فورًا. بنرفع شكوى لشركة الشحن ونتحقق من الـ GPS بتاع المندوب. لو تأكد إن التسليم غلط هنعملك اعادة ارسال او استرجاع كامل.
EG-SAL-0066,sales,delivery_delay,التوصيل في الشيخ زايد بياخد كام يوم؟,الشيخ زايد في القاهرة الجديدة بنوصلها في 2-3 ايام عمل. لو الاوردر كبير عليه تركيب بيضيف يوم. ابعتلنا لو عدى 3 ايام بدون حركة.
EG-SAL-0067,sales,delivery_delay,التوصيل في الإسكندرية نزل علينا موجة حر شديدة والمندوب ما قدريش.,بنوعذر عن التأخير في موجات الحر الشديدة. المندوبين ملزمين يوقفوا في الذروة من 1 لـ 4 العصر. هنظر المعاد لبعد المغرب. ابعتلنا رقم الاوردر هنظبطه.
EG-SAL-0068,sales,return_window,عايز ارجع تيشيرت اشتريته من اسبوعين.,فترة الارجاع 14 يوم من تاريخ الاستلام. التيشيرت لازم يكون بحالته الاصلية مع التكت والايتيكيت. افتح طلب ارجاع من التطبيق وهتختار سبب الارجاع. المندوب بيجي ياخده كاش عند الاستلام الاول.
EG-SAL-0069,sales,return_window,المنتج اتباع عندي، اقدر ارجعه بعد شهر؟,للأسف فترة الارجاع القياسية 14 يوم. بعد كده مينفعش الا لو فيه عيب مصنعي وده بيتم عن طريق الضمان. ابعتلنا صور للعيب وهنشوف نحوله لخدمة العملاء.
EG-SAL-0070,sales,return_window,المنتج فتحته وجربته، اقدر ارجعه؟,ايوه طالما بحالته الاصلية ومفيش استعمال واضح. المنتجات الشخصية زي العطور واللانجري ما بترجعش لاسباب صحية. لو في عيب مصنعي يبقى بتتحول لخدمة الضمان.
EG-SAL-0071,sales,return_window,مين بيدفع رسوم الارجاع؟,الارجاع مجاني لو السبب من جانبنا (غلط في الاوردر، منتج تالف، او مواصفة مختلفة). لو السبب من جانبك (غيرت رأيك، المقاس مش مظبوط) بيدفع العميل رسوم شحن الارجاع 35 جنيه.
EG-SAL-0072,sales,return_window,استلمت الاوردر من 10 ايام بس اكتشفت إن المقاس غلط.,ضمن فترة ال14 يوم تقدر تطلب استبدال بمقاس صح من التطبيق. اختار استبدال بدل ارجاع وهتدفع الفرق او يسترجعلك الفرق حسب السعر. المندوب بيجي ياخد القديم ويجيب الجديد في نفس المعاد اغلب الاحوال.
EG-SAL-0073,sales,return_window,اللي وصل مش نفس اللون، اقدر ارجعه بعد 20 يوم؟,بعد 14 يوم مينفعش ارجاع عادي. بس لو الغلط من جانبنا (اللون مختلف عن الاوردر) بتفتح شكوى وهنتحقق. لو تأكد الغلط هنقبل الارجاع بره الفترة كحالة استثنائية.
EG-SAL-0074,sales,return_window,المنتج فيه عيب بس فاتت 14 يوم.,لو عيب مصنعي بيتم عبر الضمان، مش الارجاع العادي. ابعتلنا صور العيب ورقم الفاتورة وهنحولك لخدمة الضمان. لو المنتج عليه ضمان سنتين مثلاً بتتصلح مجانًا.
EG-SAL-0075,sales,return_window,الاراجع للمنتجات المخصومة؟,ايوه تقد ترجع المنتجات المخصومة بنفس شروط الارجاع في 14 يوم. بس لو المنتج كان في تصفية نهاية السنة بيعتبر تصفير نهائي وما بيرجعش. شوف في صفحة المنتج.
EG-SAL-0076,sales,return_window,مين بيجي ياخد المنتج المرجع؟,مندوب من شركة الشحن بيجي لحد باب بيتك في المعاد اللي تختاره. بياخد المنتج مع نسخة من طلب الارجاع. لو المنتج كبير (تلاجة، غسالة) بييجي فريق متخصص.
EG-SAL-0077,sales,return_window,البائع رفض الارجاع وانا في الفترة.,ابعتلنا رقم الاوردر وسبب الرفض. لو المنتج بحالته وفي الفترة، البائع ملزم يقبل. بنتدخل مع البائع ونظبط الارجاع. حقك محفوظ طالما الشروط متوفرة.
EG-SAL-0078,sales,exchange_policy,عايز استبدل لون التيشيرت، نفس المقاس.,ضمن 14 يوم تقدر تستبدل بلون تاني لو متوفر في المخزون. افتح طلب استبدال من التطبيق واختار اللون الجديد. لو في فرق سعر يتحسب او يترجع.
EG-SAL-0079,sales,exchange_policy,اشتريت جهاز كاسترول وعايز استبدله بموديل تاني.,الاستبدال متاح خلال 14 يوم طالما المنتج بحالته الاصلية مع الكرتونة والملحقات. اختار الموديل الجديد وادفع الفرق لو اغلى. لو اقل نفرقلك الفرق محفظة.
EG-SAL-0080,sales,exchange_policy,الاستبدال ممكن في فرع قريب مني؟,لا يا فندم، الاستبدال بيتم عن طريق مندوب بيجي لحد عندك، مش في الفروع. بتفتح طلب من التطبيق والمندوب بياخد القديم ويجيب الجديد في نفس الزيارة اغلب الاحوال. لو الفرع قريب ممكن تروح بشرط يكون فيه طلب استبدال مفتوح قبل.
EG-SAL-0081,sales,exchange_policy,استبدلت المنتج والموديل الجديد مش عاجبني برضه.,الاستبدال بيتم مرة وحدة ضمن فترة ال14 يوم. بعد الاستبدال الاول ماينفعش تتبدل تاني. بس تقدر ترجع لو في عيب مصنعي خلال الضمان.
EG-SAL-0082,sales,exchange_policy,الاستبدال بياخد كام يوم؟,بعد ما المندوب ياخد القديم، الجديد بيتجهز ويتشحن في 2-3 ايام عمل. بنحاول نوصله في نفس الزيارة لو متوفر في مخزن قريب. لو من منطقة تانية بياخد شوية اكتر.
EG-SAL-0083,sales,exchange_policy,استبدل منتج والفرق كان 200 جنيه، فين الفلوس؟,الفرق بيرجع على نفس وسيلة الدفع اللي استخدمتها. لو فيزا خلال 7 ايام، لو محفظة في 48 ساعة. لو دفعت كاش بيرجع محفظة في تطبيقنا. ابعتلنا لو عدى الوقت.
EG-SAL-0084,sales,exchange_policy,المنتج اللي عايز استبدله مش متوفر حاليًا.,انتظر رجوعه للمخزن او اختار موديل تاني. تقدر تفتح طلب ارجاع بدل الاستبدال وتسترجع الفلوس. ابعتلنا اسم المنتج وهنطمنك اول ما يرجع.
EG-SAL-0085,sales,coupon_expired,الكوبون بتاعي اتقالي عليه منتهي وانا لسه شاريه امس.,الكوبونات ليها تاريخ انتهاء واضح في الايميل. لو الكوبون صالح واترفض ابعتلنا صورة منه ورقم الاوردر وهنراجع مع التسويق. ساعات بيبقى فيه حد ادنى للطلب او فئة معينة.
EG-SAL-0086,sales,coupon_expired,عملت اشتراك في النشرة عشان كوبون 15% وماعطونيش.,الكوبون بيوصلك خلال 24 ساعة على الايميل بعد تأكيد الاشتراك. شوف السبام لو ما وصلش. لو عدى يومين ابعتلنا الايميل المسجل وهنبعتلك كوبون بديل.
EG-SAL-0087,sales,coupon_expired,الكوبون مش بيطلع في صفحة الدفع.,تأكد إنك بتدخل الكود صح من غير مسافات وانه لسه صالح. بعض الكوبونات لاقسام معينة بس (ملابس، الكترونيات). لو مش بيشتغل ابعتلنا الكود وهنطابق القواعد.
EG-SAL-0088,sales,coupon_expired,الكوبون بيقول 50 جنيه خصم وماعملش الا 10.,الاكيد الكوبون بيقول 50 جنيه علشان طلب اكبر من 500 جنيه، ولاقصى قيمة الخصم 10% من الطلب. ابعتلنا صورة من شروط الكوبون وهنوضحلك.
EG-SAL-0089,sales,coupon_expired,الفلوس بتاعت الكوبون رجعت للمحفظة ولا ايه؟,الكوبونات م بتترجع كاش، بتفضل كرصيدة في حسابك تقدر تستخدمها في اوردرات تانية. لو الكوبون الاصلي من النشرة البريدية و انتهى وهو مستخدم بيتحول لكوبون بديل.
EG-SAL-0090,sales,coupon_expired,استخدمت الكوبون وبعدين لغيت الاوردر، الكوبون بيرجع؟,ايوه بيرجع لو الكوبون لسه صالح. لو انتهى في فترة الانتظار ما بيرجعش. بنحاول نعوضك بكوبون بديل لو الكوبون الاصلي انتهى بسبب لغاء الأوردر من جانبنا.
EG-SAL-0091,sales,coupon_expired,الكوبون اشتغل على منتج بس مش على الاوردر كله.,بعض الكوبونات لاقسام معينة. شوف التفاصيل في الايميل. لو الكوبون للملابس بس مش هيشتغل على الالكترونيات. لو بتاعتك مش كده ابعتلنا صورة.
EG-SAL-0092,sales,damaged_delivery,المنتج وصلني مكسور، اعمل ايه؟,متأسفين يا فندم. صور المنتج والكرتونة من جوه ومن بره قبل ما تفتح اكتر. افتح طلب ارجاع بسبب تالف خلال 48 ساعة من الاستلام وهنبدللك المنتج جديد بدون رسوم. لو عدى 48 ساعة بيصعب نثبت إنه وصل كده.
